Image,MA_pixels,HE_pixels,EX_pixels,SE_pixels,OD_pixels
IDRiD_001.jpg,1444,1,1223,3835,97
IDRiD_002.jpg,926,4,611,1707,377
IDRiD_003.jpg,68,0,0,557,17
IDRiD_004.jpg,1483,9,1526,2064,601
IDRiD_005.jpg,4424,54,0,6235,1166
IDRiD_006.jpg,388,13,0,814,1464
IDRiD_007.jpg,303,116,0,1119,501
IDRiD_008.jpg,239,22,10,841,932
IDRiD_009.jpg,285,11,0,889,1022
IDRiD_010.jpg,606,0,1583,2236,0
IDRiD_011.jpg,158,0,443,677,27
IDRiD_012.jpg,20536,3227,157,26309,16531
IDRiD_013.jpg,12790,1791,394,17912,11027
IDRiD_014.jpg,140,0,261,673,0
IDRiD_015.jpg,550,23,7949,1222,0
IDRiD_016.jpg,219,0,540,755,40
IDRiD_017.jpg,588,0,1212,1364,5
IDRiD_018.jpg,47,0,0,398,0
IDRiD_019.jpg,16,0,0,364,0
IDRiD_020.jpg,11076,653,5823,17439,1858
IDRiD_021.jpg,16426,70,906,20286,1423
IDRiD_022.jpg,7990,141,3082,11711,771
IDRiD_023.jpg,1060,0,828,1965,6
IDRiD_024.jpg,1250,0,1108,1808,108
IDRiD_025.jpg,129,0,109,628,0
IDRiD_026.jpg,87,0,28,501,0
IDRiD_027.jpg,518,0,525,962,0
IDRiD_028.jpg,222,0,199,919,75
IDRiD_029.jpg,509,0,750,766,0
IDRiD_030.jpg,16,0,0,393,0
IDRiD_031.jpg,17,4,0,435,0
IDRiD_032.jpg,2488,26,2648,4622,176
IDRiD_033.jpg,3484,0,4359,9280,0
IDRiD_034.jpg,391,14,569,1409,284
IDRiD_035.jpg,95,1,146,745,0
IDRiD_036.jpg,18059,49,879,23641,501
IDRiD_037.jpg,729,0,1243,2943,241
IDRiD_038.jpg,24152,681,1234,26920,3358
IDRiD_039.jpg,2685,17,1254,6103,343
IDRiD_040.jpg,2223,0,634,3609,652
IDRiD_041.jpg,142,0,14,596,3
IDRiD_042.jpg,218,0,160,795,33
IDRiD_043.jpg,134,0,133,756,7
IDRiD_044.jpg,119,0,633,973,229
IDRiD_045.jpg,14961,14,0,17760,1934
IDRiD_046.jpg,21751,2062,445,28504,12561
IDRiD_047.jpg,9054,3586,1154,10791,6290
IDRiD_048.jpg,484,43,10,1224,746
IDRiD_049.jpg,2293,1,2249,6043,97
IDRiD_050.jpg,5258,1,1567,5627,222
IDRiD_051.jpg,113,0,8,705,23
IDRiD_052.jpg,179,0,0,559,0
IDRiD_053.jpg,146,0,708,1015,162
IDRiD_054.jpg,1013,0,1118,3294,315
IDRiD_055.jpg,10739,1382,3374,12227,1155
IDRiD_056.jpg,72,0,114,466,0
IDRiD_057.jpg,6203,2162,354,8371,4461
IDRiD_058.jpg,274,5,458,1158,402
IDRiD_059.jpg,1087,0,903,3097,118
IDRiD_060.jpg,13987,739,11292,31123,6006
IDRiD_061.jpg,17451,4106,3512,23027,14740
IDRiD_062.jpg,4206,110,3452,8186,908
IDRiD_063.jpg,139,0,690,794,96
IDRiD_064.jpg,415,0,982,752,150
IDRiD_065.jpg,797,0,1595,1231,0
IDRiD_066.jpg,4120,36,2732,9915,325
IDRiD_067.jpg,708,0,1001,1897,0
IDRiD_068.jpg,356,0,185,1177,1
IDRiD_069.jpg,613,251,0,1559,1349
IDRiD_070.jpg,844,2,116,1266,339
IDRiD_071.jpg,869,5,72,1599,228
IDRiD_072.jpg,217,0,221,784,120
IDRiD_073.jpg,10819,58,2179,24631,1780
IDRiD_074.jpg,2139,13,1159,5600,375
IDRiD_075.jpg,92,0,460,523,28
IDRiD_076.jpg,244,0,331,586,6
IDRiD_077.jpg,2610,76,23013,14442,420
IDRiD_078.jpg,17638,5755,2913,22878,12884
IDRiD_079.jpg,472,0,274,1443,380
IDRiD_080.jpg,994,2,541,1835,196
IDRiD_081.jpg,1303,14,13824,6753,1309
IDRiD_082.jpg,8644,2584,1489,10692,3497
IDRiD_083.jpg,162,0,326,921,87
IDRiD_084.jpg,281,5,0,913,744
IDRiD_085.jpg,91,0,0,561,0
IDRiD_086.jpg,41,0,285,607,0
IDRiD_087.jpg,1078,0,1688,2966,24
IDRiD_088.jpg,304,4,0,600,1233
IDRiD_089.jpg,171,6,158,1259,2
IDRiD_090.jpg,165,0,748,791,5
IDRiD_091.jpg,491,0,428,687,2
IDRiD_092.jpg,251,0,468,730,27
IDRiD_093.jpg,112,0,147,606,57
IDRiD_094.jpg,101,0,164,483,0
IDRiD_095.jpg,15504,224,637,22288,10127
IDRiD_096.jpg,401,0,498,1462,23
IDRiD_097.jpg,21801,608,1559,24326,2331
IDRiD_098.jpg,342,0,378,1317,124
IDRiD_099.jpg,568,0,684,1513,17
IDRiD_100.jpg,325,0,161,740,0
IDRiD_101.jpg,4012,37,473,6379,1140
IDRiD_102.jpg,10190,435,368,13260,4859
IDRiD_103.jpg,550,10,0,911,1413
IDRiD_104.jpg,840,0,616,1418,113
IDRiD_105.jpg,967,2,914,2390,224
IDRiD_106.jpg,1490,0,1071,2844,105
IDRiD_107.jpg,560,0,241,970,5
IDRiD_108.jpg,1882,5,315,2407,941
IDRiD_109.jpg,774,2,251,886,19
IDRiD_110.jpg,182,0,11,525,0
IDRiD_111.jpg,66,0,115,756,28
IDRiD_112.jpg,454,7,0,912,1138
IDRiD_113.jpg,2464,27,14,3697,1120
IDRiD_114.jpg,129,0,0,489,0
IDRiD_115.jpg,391,40,5320,2361,536
IDRiD_116.jpg,8293,201,8829,17520,1302
IDRiD_117.jpg,1182,0,265,1724,641
IDRiD_118.jpg,834,0,712,1166,86
IDRiD_119.jpg,592,0,824,1175,104
IDRiD_120.jpg,757,0,1117,2290,37
IDRiD_121.jpg,1996,0,821,1797,502
IDRiD_122.jpg,179,0,0,616,343
IDRiD_123.jpg,1026,0,945,1239,9
IDRiD_124.jpg,42,0,0,355,0
IDRiD_125.jpg,205,0,239,866,0
IDRiD_126.jpg,1542,0,4,2164,403
IDRiD_127.jpg,63,0,301,490,0
IDRiD_128.jpg,3515,34,6965,10633,0
IDRiD_129.jpg,3217,13,686,5610,667
IDRiD_130.jpg,136,2,28,637,55
IDRiD_131.jpg,750,0,6,840,7
IDRiD_132.jpg,3304,23,980,6772,681
IDRiD_133.jpg,277,0,530,1504,152
IDRiD_134.jpg,431,24,17,1141,824
IDRiD_135.jpg,2595,31,0,3657,1350
IDRiD_136.jpg,32,0,0,349,0
IDRiD_137.jpg,20,0,0,338,0
IDRiD_138.jpg,609,10,0,1260,1445
IDRiD_139.jpg,205,13,7,713,880
IDRiD_140.jpg,354,0,0,978,699
IDRiD_141.jpg,9240,49,0,11863,1976
IDRiD_142.jpg,279,69,8,970,0
IDRiD_143.jpg,295,16,11,888,315
IDRiD_144.jpg,2012,156,0,2726,1652
IDRiD_145.jpg,394,8,0,845,929
IDRiD_146.jpg,324,0,0,746,329
IDRiD_147.jpg,378,0,0,754,306
IDRiD_148.jpg,73,0,0,515,0
IDRiD_149.jpg,80,0,0,458,0
IDRiD_150.jpg,80,0,6,473,0
IDRiD_151.jpg,61,0,23,463,0
IDRiD_152.jpg,164,0,130,643,0
IDRiD_153.jpg,87,0,0,442,0
IDRiD_154.jpg,105,0,102,591,4
IDRiD_155.jpg,121,29,298,928,208
IDRiD_156.jpg,940,39,26,1565,755
IDRiD_157.jpg,371,28,0,817,587
IDRiD_158.jpg,1990,46,3,3032,489
IDRiD_159.jpg,253,2,0,620,490
IDRiD_160.jpg,144,0,0,442,0
IDRiD_161.jpg,466,3,0,810,697
IDRiD_162.jpg,12814,80,23,25316,15074
IDRiD_163.jpg,696,14,82,1467,1458
IDRiD_164.jpg,1314,0,395,2353,6
IDRiD_165.jpg,474,0,121,810,177
IDRiD_166.jpg,118,3,243,763,279
IDRiD_167.jpg,83,0,145,713,0
IDRiD_168.jpg,179,0,0,591,408
IDRiD_169.jpg,386,5,0,785,827
IDRiD_170.jpg,83,0,86,521,0
IDRiD_171.jpg,143,0,134,583,0
IDRiD_172.jpg,510,6,0,977,737
IDRiD_173.jpg,408,4,0,833,551
IDRiD_174.jpg,213,0,4,762,141
IDRiD_175.jpg,228,2,13,754,129
IDRiD_176.jpg,361,4,53,1147,949
IDRiD_177.jpg,2138,6,504,5166,582
IDRiD_178.jpg,1024,6,1356,2135,285
IDRiD_179.jpg,2232,2274,19,2193,589
IDRiD_180.jpg,3384,1976,0,4269,1715
IDRiD_181.jpg,11516,989,983,16610,6601
IDRiD_182.jpg,844,1149,0,2268,688
IDRiD_183.jpg,1624,71,5226,12182,279
IDRiD_184.jpg,1199,525,0,1493,2639
IDRiD_185.jpg,2119,112,0,3447,1993
IDRiD_186.jpg,842,79,196,1331,1470
IDRiD_187.jpg,799,9,611,2135,20
IDRiD_188.jpg,1380,10,686,4306,320
IDRiD_189.jpg,778,0,916,989,1
IDRiD_190.jpg,6751,93,466,9419,1307
IDRiD_191.jpg,2802,15,4761,11611,407
IDRiD_192.jpg,2825,114,3747,10259,2
IDRiD_193.jpg,2557,75,141,3954,889
IDRiD_194.jpg,413,15,116,1134,177
IDRiD_195.jpg,10688,2355,1209,16442,5702
IDRiD_196.jpg,2788,1323,10,5316,9620
IDRiD_197.jpg,9102,3712,2057,12938,14450
IDRiD_198.jpg,1336,16,220,3030,967
IDRiD_199.jpg,177,11,157,833,936
IDRiD_200.jpg,334,10,214,991,38
IDRiD_201.jpg,8397,833,2147,11159,1577
IDRiD_202.jpg,5914,2726,1484,7544,1891
IDRiD_203.jpg,6724,142,1754,10963,1166
IDRiD_204.jpg,2699,112,48,3698,1837
IDRiD_205.jpg,3306,1182,145,5848,2713
IDRiD_206.jpg,588,0,569,1115,581
IDRiD_207.jpg,11214,215,5492,22232,504
IDRiD_208.jpg,2383,1,949,2644,176
IDRiD_209.jpg,681,242,0,1221,1260
IDRiD_210.jpg,3511,136,1512,6269,1455
IDRiD_211.jpg,917,44,184,1635,1881
IDRiD_212.jpg,1808,721,1,3937,3185
IDRiD_213.jpg,5606,320,0,7030,10084
IDRiD_214.jpg,25955,278,13951,39487,842
IDRiD_215.jpg,474,16,771,961,212
IDRiD_216.jpg,21857,142,3872,26315,2374
IDRiD_217.jpg,8663,1085,2171,11073,2575
IDRiD_218.jpg,5711,822,410,7504,1519
IDRiD_219.jpg,4898,64,0,6655,1276
IDRiD_220.jpg,14236,80,839,19389,1739
IDRiD_221.jpg,2484,745,170,3797,1410
IDRiD_222.jpg,2798,442,109,3930,1641
IDRiD_223.jpg,208,24,82,912,430
IDRiD_224.jpg,402,0,2334,950,122
IDRiD_225.jpg,813,61,0,1851,861
IDRiD_226.jpg,6780,155,1135,9013,1415
IDRiD_227.jpg,5335,75,1341,7497,1016
IDRiD_228.jpg,3905,4,459,6101,750
IDRiD_229.jpg,3925,281,76,5422,1971
IDRiD_230.jpg,1681,265,0,1926,2256
IDRiD_231.jpg,3683,7,1173,10340,1061
IDRiD_232.jpg,3434,2,643,6508,395
IDRiD_233.jpg,1464,267,0,2479,1571
IDRiD_234.jpg,666,125,0,1468,1260
IDRiD_235.jpg,2228,1157,15,4414,1824
IDRiD_236.jpg,1711,11,1026,10897,129
IDRiD_237.jpg,2221,48,842,11956,192
IDRiD_238.jpg,725,164,0,1191,1646
IDRiD_239.jpg,1204,0,782,3322,278
IDRiD_240.jpg,234,0,390,1038,171
IDRiD_241.jpg,4183,570,41,5105,2256
IDRiD_242.jpg,2082,8,3113,7859,125
IDRiD_243.jpg,2664,300,4,4114,1714
IDRiD_244.jpg,6065,536,1,7454,3540
IDRiD_245.jpg,2104,2,1007,6007,677
IDRiD_246.jpg,1909,0,752,2708,418
IDRiD_247.jpg,2771,313,0,3676,6064
IDRiD_248.jpg,913,84,0,1201,1844
IDRiD_249.jpg,11167,3604,4228,14266,3818
IDRiD_250.jpg,19058,5444,4097,26123,2998
IDRiD_251.jpg,3619,307,4,4733,2054
IDRiD_252.jpg,4454,57,0,5286,8277
IDRiD_253.jpg,3272,818,12,5286,7060
IDRiD_254.jpg,2710,16,1276,5633,218
IDRiD_255.jpg,865,199,0,735,1682
IDRiD_256.jpg,293,23,0,1323,1360
IDRiD_257.jpg,473,12,133,1178,26
IDRiD_258.jpg,8185,84,213,12527,1095
IDRiD_259.jpg,4704,1285,2,7612,20620
IDRiD_260.jpg,452,17,350,1092,268
IDRiD_261.jpg,1115,3,248,2134,958
IDRiD_262.jpg,7267,197,2750,17452,758
IDRiD_263.jpg,4326,37,451,6834,711
IDRiD_264.jpg,2181,1670,31,2887,2519
IDRiD_265.jpg,8436,89,959,19032,2949
IDRiD_266.jpg,8116,11,511,12569,1133
IDRiD_267.jpg,1042,346,0,924,1398
IDRiD_268.jpg,9443,64,565,14249,1694
IDRiD_269.jpg,374,16,910,960,134
IDRiD_270.jpg,1153,8,475,1585,672
IDRiD_271.jpg,829,3,1189,1437,26
IDRiD_272.jpg,229,0,988,703,5
IDRiD_273.jpg,9631,1485,962,13232,7311
IDRiD_274.jpg,103,0,0,436,0
IDRiD_275.jpg,5905,424,8,8292,3848
IDRiD_276.jpg,2206,308,101,3271,1231
IDRiD_277.jpg,1747,1,390,3941,169
IDRiD_278.jpg,142,0,0,397,0
IDRiD_279.jpg,472,0,274,1443,380
IDRiD_280.jpg,643,0,661,785,163
IDRiD_281.jpg,179,0,447,767,204
IDRiD_282.jpg,5348,0,970,13125,2267
IDRiD_283.jpg,1708,1,1071,4694,92
IDRiD_284.jpg,1836,0,762,2963,279
IDRiD_285.jpg,5119,451,2727,8906,1598
IDRiD_286.jpg,1966,35,66,3384,1224
IDRiD_287.jpg,4212,11,3177,8626,411
IDRiD_288.jpg,3024,15,824,3633,609
IDRiD_289.jpg,7257,406,16,9185,3219
IDRiD_290.jpg,7243,1514,1858,9193,1861
IDRiD_291.jpg,6058,118,4,8312,1368
IDRiD_292.jpg,2555,581,2,4852,5166
IDRiD_293.jpg,4183,1,2928,9766,45
IDRiD_294.jpg,5766,0,1798,8762,164
IDRiD_295.jpg,3928,174,136,5441,1546
IDRiD_296.jpg,975,142,457,1739,665
IDRiD_297.jpg,4962,555,28,6978,2555
IDRiD_298.jpg,346,3,0,796,909
IDRiD_299.jpg,2876,0,600,2806,738
IDRiD_300.jpg,1562,15,852,3374,237
IDRiD_301.jpg,2608,23,3240,7962,589
IDRiD_302.jpg,3045,0,685,4630,745
IDRiD_303.jpg,17627,268,4176,27759,832
IDRiD_304.jpg,11487,42,847,21317,709
IDRiD_305.jpg,3911,98,0,5837,7301
IDRiD_306.jpg,9300,118,1,10624,14776
IDRiD_307.jpg,14559,360,5744,21612,1584
IDRiD_308.jpg,2791,15,2850,6370,122
IDRiD_309.jpg,2131,0,589,2915,177
IDRiD_310.jpg,4878,516,0,6844,13268
IDRiD_311.jpg,3959,478,0,3544,5443
IDRiD_312.jpg,477,13,0,752,1263
IDRiD_313.jpg,2135,2,4262,6752,228
IDRiD_314.jpg,1440,0,339,2792,438
IDRiD_315.jpg,4373,904,261,6019,1721
IDRiD_316.jpg,5324,164,4838,13798,1384
IDRiD_317.jpg,5782,39,1720,11606,1233
IDRiD_318.jpg,2708,25,521,4084,800
IDRiD_319.jpg,1317,4,1552,5153,121
IDRiD_320.jpg,79,0,3,570,36
IDRiD_321.jpg,285,0,331,774,41
IDRiD_322.jpg,469,0,524,803,1
IDRiD_323.jpg,1392,0,518,2663,270
IDRiD_324.jpg,249,1,322,1070,277
IDRiD_325.jpg,9982,1441,2773,12253,2429
IDRiD_326.jpg,7083,787,1494,9421,5253
IDRiD_327.jpg,222,0,199,919,75
IDRiD_328.jpg,143,0,103,690,63
IDRiD_329.jpg,7856,11,227,13659,423
IDRiD_330.jpg,3622,38,3853,10521,298
IDRiD_331.jpg,7445,375,2,9471,1403
IDRiD_332.jpg,513,0,96,716,6
IDRiD_333.jpg,14961,14,0,17760,1934
IDRiD_334.jpg,2006,6,504,2746,0
IDRiD_335.jpg,19086,7231,9049,30872,11131
IDRiD_336.jpg,155,0,27,581,22
IDRiD_337.jpg,17,0,0,341,0
IDRiD_338.jpg,689,0,433,1264,125
IDRiD_339.jpg,204,1,167,769,2
IDRiD_340.jpg,2762,38,110,3060,837
IDRiD_341.jpg,346,0,272,698,0
IDRiD_342.jpg,11743,1592,8133,18859,4055
IDRiD_343.jpg,102,0,157,908,506
IDRiD_344.jpg,4934,38,2429,8414,479
IDRiD_345.jpg,484,7,0,988,1178
IDRiD_346.jpg,264,10,0,685,526
IDRiD_347.jpg,957,18,936,1489,69
IDRiD_348.jpg,1125,0,2096,1910,220
IDRiD_349.jpg,182,0,177,795,114
IDRiD_350.jpg,392,0,198,740,14
IDRiD_351.jpg,10662,33,1800,15628,1178
IDRiD_352.jpg,3133,549,135,4582,1743
IDRiD_353.jpg,2535,116,43,3754,1083
IDRiD_354.jpg,5476,111,10869,23883,576
IDRiD_355.jpg,18341,534,2165,22050,1300
IDRiD_356.jpg,1029,0,647,1801,245
IDRiD_357.jpg,987,12,625,3881,3
IDRiD_358.jpg,250,12,21,759,233
IDRiD_359.jpg,5023,1,1191,13635,1764
IDRiD_360.jpg,377,22,407,722,4
IDRiD_361.jpg,1395,0,487,1235,71
IDRiD_362.jpg,10141,296,813,13908,2146
IDRiD_363.jpg,1016,40,4958,6596,93
IDRiD_364.jpg,1423,4,459,11081,437
IDRiD_365.jpg,2614,114,93,3961,1208
IDRiD_366.jpg,40,0,226,557,1
IDRiD_367.jpg,15525,517,0,19055,13246
IDRiD_368.jpg,9680,415,98,14951,17372
IDRiD_369.jpg,4651,60,593,5446,1192
IDRiD_370.jpg,1331,12,60,2114,106
IDRiD_371.jpg,4552,137,1,7260,3843
IDRiD_372.jpg,7016,327,70,8168,1554
IDRiD_373.jpg,6918,39,776,8777,399
IDRiD_374.jpg,501,12,0,693,672
IDRiD_375.jpg,10819,58,2179,24631,1780
IDRiD_376.jpg,8200,213,7318,17143,1069
IDRiD_377.jpg,1190,10,1354,2662,902
IDRiD_378.jpg,243,0,22,704,1
IDRiD_379.jpg,1856,62,122,3233,867
IDRiD_380.jpg,6966,47,1695,18246,494
IDRiD_381.jpg,7825,56,1633,11512,84
IDRiD_382.jpg,5622,142,0,10300,12389
IDRiD_383.jpg,360,67,2,1189,1564
IDRiD_384.jpg,575,38,249,1384,1186
IDRiD_385.jpg,2077,38,3017,8532,41
IDRiD_386.jpg,3647,454,51,4825,1807
IDRiD_387.jpg,1007,0,285,1837,276
IDRiD_388.jpg,9492,288,5876,16338,812
IDRiD_389.jpg,195,0,166,1133,144
IDRiD_390.jpg,812,1,389,1774,7
IDRiD_391.jpg,16426,70,906,20286,1423
IDRiD_392.jpg,439,0,893,1142,20
IDRiD_393.jpg,2440,77,3113,10971,8
IDRiD_394.jpg,437,0,173,1503,0
IDRiD_395.jpg,8547,176,7770,16292,1407
IDRiD_396.jpg,3503,59,201,4505,1245
IDRiD_397.jpg,300,12,0,577,694
IDRiD_398.jpg,241,0,4,816,6
IDRiD_399.jpg,11093,1392,3980,13815,1855
IDRiD_400.jpg,11903,112,382,15254,1248
IDRiD_401.jpg,3400,2,402,5198,258
IDRiD_402.jpg,11685,155,538,14814,1316
IDRiD_403.jpg,11467,567,5609,17722,2217
